Aadhar Number/Unique ID,Name,Age,Annual Income (INR),Vehicle Ownership,Interest in EVs,Preferred Features,Financing Options,Region,Gender
678000000000,dhanwanti devi,62,1602844,1,High,Environment Friendly,Flexible EMI,Region-49,Non-binary
930000000000,fooljhnah,43,1186238,2,Medium,Luxury Features,Flexible EMI,Region-67,Male
665000000000,vandana,74,660868,1,Medium,Environment Friendly,No Down Payment,Region-27,Male
379000000000,smt. gyatri devi,53,1886444,2,High,Affordable Price,No Down Payment,Region-81,Male
149000000000,shehnaz,68,1976998,2,High,Long Range,No Down Payment,Region-79,Female
532000000000,kajal,51,1182399,0,High,Long Range,Low Interest,Region-39,Female
483000000000,pooja,26,1107174,2,Medium,Luxury Features,No Down Payment,Region-86,Male
150000000000,ranju,29,317833,0,Medium,Environment Friendly,Flexible EMI,Region-84,Male
748000000000,vidhi,19,1969285,0,Medium,Affordable Price,Low Interest,Region-27,Female
827000000000,pooja kashyap,55,895635,2,High,Luxury Features,Flexible EMI,Region-35,Female
195000000000,jyoti,22,1422731,2,Medium,Long Range,Low Interest,Region-47,Male
375000000000,meena kumari,22,1176223,1,Medium,Luxury Features,No Down Payment,Region-52,Female
583000000000,"savita, sagar, panap",69,1045868,0,High,Fast Charging,Flexible EMI,Region-69,Male
616000000000,reena devi,39,706743,1,Medium,Environment Friendly,Low Interest,Region-66,Male
262000000000,neha,22,1799931,1,Medium,Affordable Price,Flexible EMI,Region-41,Male
751000000000,payal goyala,21,414527,0,High,Fast Charging,No Down Payment,Region-50,Female
955000000000,rakhi,26,529482,3,Medium,Environment Friendly,Low Interest,Region-45,Female
382000000000,priynka,46,1024945,1,High,Fast Charging,Flexible EMI,Region-20,Male
581000000000,janki,39,865345,0,High,Luxury Features,Low Interest,Region-71,Male
773000000000,laxmi kumari,44,498511,0,High,Affordable Price,No Down Payment,Region-36,Male
282000000000,rinku malav,27,815553,1,High,Luxury Features,Low Interest,Region-72,Female
70260081767,sohni,33,1860050,1,High,Luxury Features,Low Interest,Region-91,Female
183000000000,basnti,59,1654981,0,Medium,Environment Friendly,Flexible EMI,Region-70,Male
526000000000,meera,59,1026272,1,Low,Affordable Price,Low Interest,Region-24,Female
196000000000,pinki,68,1741834,0,Medium,Affordable Price,No Down Payment,Region-36,Male
383000000000,shivani,27,1895633,1,Medium,Luxury Features,Flexible EMI,Region-5,Male
280000000000,kiran devi,23,1808905,1,Low,Affordable Price,Low Interest,Region-84,Female
322000000000,sonia,66,508990,0,High,Long Range,No Down Payment,Region-20,Female
839000000000,doly,22,1371025,1,High,Affordable Price,No Down Payment,Region-53,Female
48756220734,raj kumari,23,1246363,1,Medium,Luxury Features,Low Interest,Region-40,Male
976000000000,manisha,73,439648,1,Medium,Long Range,Low Interest,Region-98,Female
813000000000,laxmi devi,64,739090,1,High,Long Range,Flexible EMI,Region-50,Female
115000000000,swati joshi,42,1818991,2,Medium,Environment Friendly,No Down Payment,Region-74,Female
149000000000,aashiya,68,1647065,3,High,Luxury Features,No Down Payment,Region-67,Male
777000000000,reena,67,1466502,0,Medium,Affordable Price,No Down Payment,Region-98,Male
638000000000,vimla,21,686720,1,Medium,Long Range,Low Interest,Region-35,Male
753000000000,suman,57,1317942,0,Low,Luxury Features,Low Interest,Region-64,Female
129000000000,sunita,65,1155860,0,Low,Environment Friendly,Low Interest,Region-37,Female
681000000000,sunita,49,1048008,0,Medium,Fast Charging,Flexible EMI,Region-45,Female
827000000000,karina @ kavita,73,304321,3,High,Fast Charging,No Down Payment,Region-38,Female
800000000000,pooja jayshwal,68,1092208,1,Medium,Affordable Price,No Down Payment,Region-87,Female
429000000000,pooja prajapati @ pratibha,69,1326392,0,High,Fast Charging,Low Interest,Region-85,Female
491000000000,seema,52,578263,0,Low,Long Range,Flexible EMI,Region-27,Male
295000000000,kranti,27,1869285,2,Low,Long Range,Flexible EMI,Region-65,Female
518000000000,neha,51,430078,1,Medium,Luxury Features,Flexible EMI,Region-73,Male
41481925456,dimpal @doli,53,993956,1,Medium,Affordable Price,Flexible EMI,Region-3,Female
94817399773,aarti devi,23,615111,2,Medium,Luxury Features,Flexible EMI,Region-59,Male
688000000000,sashi mittal,60,988423,1,High,Luxury Features,Low Interest,Region-100,Male
22749831682,pooja,63,1535078,0,Medium,Affordable Price,Low Interest,Region-98,Female
435000000000,preeti,33,412620,1,Medium,Luxury Features,Low Interest,Region-30,Female
4113095103,priyanka,70,1748460,2,Low,Fast Charging,No Down Payment,Region-95,Female
683000000000,shajiya,36,1953744,2,High,Environment Friendly,Flexible EMI,Region-94,Female
228000000000,priya sexena,51,1356771,0,Low,Luxury Features,Flexible EMI,Region-16,Female
63333134234,preeti,42,1299601,0,Medium,Long Range,No Down Payment,Region-29,Male
147000000000,shanti devi,48,1078985,0,Low,Long Range,Flexible EMI,Region-70,Male
12827438156,sitara,66,1975522,1,High,Fast Charging,Flexible EMI,Region-78,Female
102000000000,aakanksha,58,1406571,1,Medium,Luxury Features,Flexible EMI,Region-74,Female
823000000000,charu,34,430112,0,Low,Luxury Features,Flexible EMI,Region-88,Female
249000000000,pinki,64,338250,1,Medium,Affordable Price,Flexible EMI,Region-100,Female
35495609854,nilam devi,47,1082129,1,High,Luxury Features,Low Interest,Region-24,Male
837000000000,chango uraon,56,1233580,1,Medium,Luxury Features,Flexible EMI,Region-7,Female
323000000000,shiv kumari,71,1363952,2,Low,Long Range,Low Interest,Region-49,Male
1144154055,kaushaliya,72,867730,1,Medium,Affordable Price,Low Interest,Region-63,Female
48883851098,babita,48,1878256,1,Medium,Luxury Features,Low Interest,Region-46,Female
353000000000,mangla urf mangi bai,36,1856769,1,Low,Fast Charging,Low Interest,Region-48,Male
119000000000,grace p.a.,52,1865474,2,Medium,Luxury Features,No Down Payment,Region-25,Male
860000000000,usha,46,1821637,0,Low,Affordable Price,Low Interest,Region-43,Male
729000000000,smt rubi,18,324809,2,Medium,Fast Charging,No Down Payment,Region-55,Female
533000000000,nisha @ chinu,21,1463671,0,High,Fast Charging,No Down Payment,Region-34,Male
738000000000,subhadra,45,956053,0,High,Fast Charging,Low Interest,Region-65,Female
869000000000,lalita,35,923761,0,High,Long Range,Flexible EMI,Region-28,Female
782000000000,asma khatun,43,1443345,3,Medium,Long Range,Flexible EMI,Region-41,Male
804000000000,anjali,57,767375,1,Medium,Fast Charging,Low Interest,Region-29,Male
998000000000,kalawati,36,1847878,0,Low,Long Range,Low Interest,Region-32,Female
912000000000,seema,72,1853952,3,Low,Fast Charging,No Down Payment,Region-69,Female
403000000000,santosh singal,72,898998,1,High,Fast Charging,No Down Payment,Region-34,Non-binary
68944373897,priyanka,74,1097784,2,Medium,Environment Friendly,Flexible EMI,Region-59,Male
831000000000,tina,23,1531844,0,Medium,Long Range,No Down Payment,Region-61,Female
889000000000,chanchal,18,1550714,0,High,Environment Friendly,No Down Payment,Region-52,Male
253000000000,mercy,25,1401652,1,Medium,Fast Charging,Low Interest,Region-63,Female
286000000000,poonam,50,585498,1,High,Fast Charging,No Down Payment,Region-26,Female
543000000000,smt. manju,68,958672,1,High,Environment Friendly,No Down Payment,Region-77,Female
590000000000,varsha,60,1656553,1,High,Affordable Price,No Down Payment,Region-12,Female
72117027874,huma khan,38,1877182,1,Medium,Fast Charging,Flexible EMI,Region-22,Female
15677199781,gulbasha,41,1985227,0,Medium,Long Range,Low Interest,Region-73,Non-binary
511000000000,seema khatun,42,662136,1,Medium,Luxury Features,Flexible EMI,Region-56,Female
498000000000,seema,64,458264,1,Medium,Luxury Features,Low Interest,Region-6,Female
31104852065,roshni,72,1449302,0,High,Luxury Features,Low Interest,Region-36,Female
83382631049,rahila maqbool,74,389199,0,High,Environment Friendly,No Down Payment,Region-74,Male
844000000000,kajal choudhary,60,681339,1,High,Fast Charging,Flexible EMI,Region-59,Male
295000000000,preeti,36,1330412,2,High,Affordable Price,Flexible EMI,Region-59,Female
404000000000,geeta devi,46,468561,0,Low,Long Range,No Down Payment,Region-96,Male
447000000000,swati thakur,70,1599707,0,Medium,Luxury Features,Flexible EMI,Region-68,Female
408000000000,pooja,27,1718227,0,High,Luxury Features,Low Interest,Region-52,Male
868000000000,shenaz,73,852561,2,High,Long Range,Low Interest,Region-68,Male
508000000000,rinki,29,853761,1,Medium,Luxury Features,Low Interest,Region-77,Male
48096877104,chandni,50,885698,3,Medium,Environment Friendly,No Down Payment,Region-80,Male
718000000000,priyanka,73,706895,2,Medium,Fast Charging,Flexible EMI,Region-51,Male
65991117621,ruksana,24,655125,1,High,Fast Charging,Low Interest,Region-90,Female
851000000000,vivek kumar,34,345310,0,Medium,Affordable Price,No Down Payment,Region-97,Female
444000000000,kiran,27,1956270,1,High,Environment Friendly,Low Interest,Region-68,Female
507000000000,nisha,48,491755,0,Low,Affordable Price,Low Interest,Region-26,Female
231000000000,heena d/o zamil akhtar,23,1723485,0,High,Luxury Features,Flexible EMI,Region-73,Female
775000000000,jyoti,34,1636712,0,High,Fast Charging,No Down Payment,Region-41,Male
972000000000,rajni,67,1378009,1,Medium,Affordable Price,Low Interest,Region-75,Female
132000000000,nidhi kumari,54,769790,1,High,Affordable Price,Low Interest,Region-5,Female
496000000000,seema @ simran,35,1262524,1,Medium,Environment Friendly,No Down Payment,Region-53,Female
555000000000,usha devi,43,965130,1,High,Luxury Features,No Down Payment,Region-38,Female
175000000000,kajal,66,631429,0,High,Long Range,Flexible EMI,Region-96,Male
839000000000,mala devi @ nisha,71,1196553,1,Low,Environment Friendly,Low Interest,Region-93,Male
901000000000,khushbu,33,684891,1,High,Environment Friendly,Flexible EMI,Region-92,Female
294000000000,meena,25,728487,0,High,Luxury Features,Low Interest,Region-53,Female
609000000000,hamida khatun,41,1553039,1,High,Long Range,Flexible EMI,Region-88,Male
57447619442,chanchal,30,1064993,1,Low,Environment Friendly,Low Interest,Region-56,Female
480000000000,aarti,46,323439,0,Medium,Affordable Price,No Down Payment,Region-19,Male
619000000000,kanchan,49,1706546,0,Low,Affordable Price,Flexible EMI,Region-65,Female
140000000000,pooja,41,704317,3,Low,Affordable Price,No Down Payment,Region-69,Male
894000000000,jyoti,33,917064,0,Medium,Affordable Price,Low Interest,Region-87,Female
337000000000,priyaki rav,28,1037679,1,Medium,Long Range,No Down Payment,Region-53,Male
491000000000,ranu tiwari,49,1786709,2,Low,Luxury Features,Flexible EMI,Region-19,Female
184000000000,anita devi,23,654489,1,Medium,Luxury Features,Flexible EMI,Region-66,Female
741000000000,leelawati,52,1199355,0,Low,Long Range,No Down Payment,Region-48,Male
981000000000,sunita,50,1169891,2,Medium,Luxury Features,Low Interest,Region-66,Female
392000000000,manju devi,35,544361,1,Medium,Affordable Price,Flexible EMI,Region-73,Female
906000000000,kamla,54,1035922,1,High,Long Range,Low Interest,Region-18,Male
164000000000,arti,30,1782988,1,Medium,Affordable Price,Flexible EMI,Region-80,Male
427000000000,pooja,27,978929,1,Medium,Luxury Features,Low Interest,Region-39,Female
159000000000,mamta,54,1206030,3,Medium,Environment Friendly,Low Interest,Region-73,Female
893000000000,anju,43,997247,2,Low,Long Range,No Down Payment,Region-51,Male
22785664518,priyanka,63,1238397,1,Medium,Fast Charging,Low Interest,Region-23,Male
210000000000,aarti,34,1174403,2,High,Fast Charging,Flexible EMI,Region-33,Female
165000000000,noor bano,18,748520,2,Medium,Affordable Price,No Down Payment,Region-60,Female
262000000000,saroj,42,1471875,3,Medium,Luxury Features,Flexible EMI,Region-59,Female
210000000000,chandni,51,795644,1,Low,Affordable Price,No Down Payment,Region-98,Female
793000000000,rosy massey,56,725615,0,Medium,Fast Charging,No Down Payment,Region-26,Non-binary
192000000000,poonam,27,1072443,1,High,Long Range,Low Interest,Region-17,Male
673000000000,rinukanwr,37,1834527,0,High,Affordable Price,Low Interest,Region-53,Female
190000000000,poonam,24,1725399,1,High,Luxury Features,Flexible EMI,Region-78,Female
331000000000,shalu,73,1840545,0,High,Fast Charging,Flexible EMI,Region-77,Male
100000000000,sneha,33,1267035,2,Medium,Long Range,Low Interest,Region-86,Female
685000000000,neetu,54,380570,1,High,Affordable Price,Flexible EMI,Region-43,Female
885000000000,komal,46,1969485,1,High,Long Range,Flexible EMI,Region-48,Male
572000000000,sapna,29,1620162,1,Medium,Environment Friendly,Low Interest,Region-82,Male
940000000000,sashi,34,618581,0,Medium,Fast Charging,No Down Payment,Region-20,Female
11006601717,devki,65,640323,1,High,Affordable Price,Low Interest,Region-94,Male
219000000000,priya @ nandani,37,1252573,1,Medium,Long Range,Flexible EMI,Region-35,Male
480000000000,pooja & his daughter partigya,43,993920,2,High,Affordable Price,No Down Payment,Region-33,Male
56062219077,aarti,65,1799862,0,Medium,Luxury Features,Low Interest,Region-81,Male
686000000000,pooja,36,735643,0,Medium,Luxury Features,No Down Payment,Region-99,Non-binary
193000000000,sahin,64,1212040,1,Low,Affordable Price,Flexible EMI,Region-76,Female
646000000000,sunita,29,1278000,0,High,Fast Charging,No Down Payment,Region-2,Male
193000000000,shalu,38,1937421,0,High,Affordable Price,Flexible EMI,Region-34,Male
2531837022,anita,59,897040,0,Medium,Affordable Price,Low Interest,Region-76,Male
918000000000,asha kumari,71,1556896,1,High,Affordable Price,No Down Payment,Region-90,Female
599000000000,komal,51,501513,0,Medium,Affordable Price,No Down Payment,Region-32,Female
661000000000,kusum,24,1921398,1,High,Fast Charging,No Down Payment,Region-21,Male
697000000000,archna,62,666447,3,Medium,Environment Friendly,Flexible EMI,Region-5,Female
764000000000,himanshi @ roshani,52,1507578,1,Low,Environment Friendly,Low Interest,Region-28,Male
752000000000,jyoti,32,1044402,1,Low,Long Range,Low Interest,Region-87,Female
967000000000,jyoti,18,1726007,1,Low,Fast Charging,Flexible EMI,Region-48,Male
102000000000,aarti,43,1093720,0,High,Fast Charging,No Down Payment,Region-96,Male
267000000000,anuradha,52,1458146,0,Medium,Fast Charging,Flexible EMI,Region-69,Female
434000000000,durga,42,1181979,0,Medium,Luxury Features,Flexible EMI,Region-99,Male
553000000000,km sunita,59,822699,1,Low,Fast Charging,Low Interest,Region-70,Non-binary
567000000000,sony jha,32,1953986,1,Low,Luxury Features,Flexible EMI,Region-83,Female
189000000000,sheetal,39,1380976,2,Low,Environment Friendly,No Down Payment,Region-40,Female
867000000000,preety,23,1209041,2,Low,Environment Friendly,Flexible EMI,Region-6,Female
283000000000,rubina,69,432639,0,Medium,Luxury Features,Flexible EMI,Region-14,Male
920000000000,sangeeta,32,872166,1,Medium,Affordable Price,Flexible EMI,Region-67,Male
52866520666,madhuri sharma,41,348850,0,Low,Environment Friendly,No Down Payment,Region-11,Male
780000000000,shabanm,38,1218598,1,Medium,Affordable Price,Flexible EMI,Region-39,Female
41978211345,sunita,24,966495,0,Low,Long Range,Low Interest,Region-41,Male
211000000000,meena,74,1393689,2,Low,Luxury Features,Flexible EMI,Region-24,Male
98892981364,meenu chawla,46,358791,2,Medium,Long Range,Flexible EMI,Region-43,Female
364000000000,nisha,49,1096116,0,High,Luxury Features,Low Interest,Region-82,Male
885000000000,roshni,49,1179215,1,High,Long Range,Low Interest,Region-95,Male
373000000000,amar deep kaur,70,1944591,1,High,Long Range,Low Interest,Region-74,Female
344000000000,jyoti,22,1931416,1,Medium,Fast Charging,Low Interest,Region-26,Male
671000000000,shakshi,21,439118,1,Medium,Environment Friendly,Low Interest,Region-29,Male
371000000000,neelam,39,829222,1,Medium,Luxury Features,Low Interest,Region-2,Female
520000000000,aarti,35,1277060,2,Medium,Environment Friendly,No Down Payment,Region-30,Male
882000000000,smt sunita,52,563498,1,Low,Fast Charging,Flexible EMI,Region-74,Female
541000000000,rajia,34,929065,1,High,Environment Friendly,No Down Payment,Region-76,Female
947000000000,devi,67,1968216,2,Low,Luxury Features,No Down Payment,Region-84,Male
411000000000,sita,67,554164,3,High,Fast Charging,Low Interest,Region-57,Female
388000000000,rubi,73,1401622,1,Medium,Affordable Price,Flexible EMI,Region-59,Non-binary
952000000000,jyoti,41,673242,0,Medium,Fast Charging,No Down Payment,Region-19,Male
276000000000,priyansi,19,889352,1,Medium,Luxury Features,Flexible EMI,Region-54,Male
102000000000,nandu,30,1667904,3,Medium,Long Range,Flexible EMI,Region-70,Female
632000000000,nazmin,71,958323,0,High,Environment Friendly,Low Interest,Region-23,Female
575000000000,neha,32,327424,1,High,Long Range,Flexible EMI,Region-83,Female
925000000000,varsha,22,1035399,0,High,Affordable Price,No Down Payment,Region-95,Female
9532482353,tripti,20,1313281,1,Medium,Long Range,No Down Payment,Region-33,Male
988000000000,ramvati,54,1847069,2,Medium,Environment Friendly,Low Interest,Region-66,Male
240000000000,vandana,54,569283,1,Medium,Long Range,No Down Payment,Region-79,Male
922000000000,afsana,54,573370,1,Low,Fast Charging,Low Interest,Region-11,Female
880000000000,farida begam,20,1715954,2,Low,Luxury Features,No Down Payment,Region-90,Male
185000000000,khushbu,52,773514,0,Medium,Long Range,No Down Payment,Region-18,Female
554000000000,neha,69,645796,2,High,Luxury Features,Low Interest,Region-65,Female
578000000000,arti,40,1340062,1,Medium,Luxury Features,Flexible EMI,Region-32,Female
317000000000,simran,45,993468,1,Medium,Luxury Features,Low Interest,Region-4,Female
839000000000,ranita,47,894935,1,Medium,Fast Charging,Flexible EMI,Region-86,Male
146000000000,yogita tiwari,35,1941481,1,Medium,Luxury Features,Flexible EMI,Region-36,Female
902000000000,asha,69,460887,2,Medium,Long Range,Low Interest,Region-93,Female
951000000000,kiran devi,53,997590,3,Low,Luxury Features,Low Interest,Region-100,Non-binary
780000000000,pooja,50,1339719,2,Low,Fast Charging,Low Interest,Region-57,Male
284000000000,soniya,43,1543020,0,Low,Luxury Features,Flexible EMI,Region-33,Female
135000000000,hemlata,65,776665,1,Low,Long Range,Flexible EMI,Region-14,Male
345000000000,priyanka,57,1497113,1,Low,Fast Charging,Flexible EMI,Region-48,Female
521000000000,kajal,34,701210,2,High,Affordable Price,Flexible EMI,Region-37,Female
462000000000,sushma,57,1876395,1,Low,Affordable Price,Low Interest,Region-5,Male
557000000000,kavita,24,752282,3,High,Long Range,Low Interest,Region-50,Female
820000000000,ranjana,74,1054380,3,Medium,Environment Friendly,Flexible EMI,Region-61,Male
487000000000,benjir heena mohd.,25,1223733,1,High,Luxury Features,No Down Payment,Region-86,Female
921000000000,manju,70,1705031,2,High,Environment Friendly,Low Interest,Region-69,Male
902000000000,soniya,73,1047662,3,High,Fast Charging,No Down Payment,Region-38,Male
355000000000,seema,48,1430700,2,Medium,Luxury Features,No Down Payment,Region-46,Male
691000000000,komal,29,781920,1,Medium,Environment Friendly,No Down Payment,Region-98,Female
311000000000,salma,65,1000149,2,High,Long Range,Flexible EMI,Region-15,Female
945000000000,rukshana,48,1916933,0,Low,Fast Charging,Low Interest,Region-37,Male
589000000000,palak,61,1057758,1,Low,Luxury Features,No Down Payment,Region-27,Female
975000000000,astha,36,1567050,0,Medium,Affordable Price,Flexible EMI,Region-1,Female
489000000000,fahija,27,1227028,0,Low,Luxury Features,Low Interest,Region-29,Male
304000000000,reeta,56,1994771,2,Medium,Fast Charging,Flexible EMI,Region-72,Female
401000000000,noojo khatoon,29,388074,1,Low,Affordable Price,Low Interest,Region-97,Male
192000000000,chaya,37,1456921,0,Medium,Long Range,Low Interest,Region-7,Female
868000000000,vandana,54,1566410,1,Medium,Luxury Features,Flexible EMI,Region-29,Male
256000000000,pooja,65,1804895,3,Low,Environment Friendly,No Down Payment,Region-31,Female
251000000000,mamta,58,1225607,2,High,Environment Friendly,Low Interest,Region-38,Male
508000000000,kiran,24,1800373,0,High,Long Range,Low Interest,Region-8,Female
137000000000,sakila,69,1825730,3,Medium,Fast Charging,No Down Payment,Region-95,Female
463000000000,rehana,71,1402779,1,High,Long Range,Low Interest,Region-37,Female
101000000000,mamta,31,1494738,1,Medium,Fast Charging,No Down Payment,Region-59,Female
954000000000,jyoti,28,1888779,1,High,Affordable Price,Low Interest,Region-79,Female
381000000000,radha devi,24,1536635,2,Low,Fast Charging,No Down Payment,Region-54,Male
286000000000,kumari komal,46,1828839,2,Low,Affordable Price,Low Interest,Region-58,Female
88712997851,neha siddiki,27,678884,0,High,Luxury Features,Low Interest,Region-96,Male
